2016-12-16T09:28:18+00:00 [2084] INFO  : DB Get Request with parameter :'ssc'
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:34+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY Get Categories List with Ids for subject  : 'AGR/Q4804'
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 368  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Categories : 'SELECT id,category FROM `assessment`.`subject_category` where status='active' and subId='AGR/Q4804''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY Get Request with parameter : 'questions'
2016-12-16T09:29:36+00:00 [2084] INFO  : DB Get Request with parameter :'questions'
2016-12-16T09:29:36+00:00 [2084] INFO  : DB Get Questions List for ssc :Agriculture' and subject  : 'AGR/Q4804'
		and category :'' and module : ''
2016-12-16T09:29:36+00:00 [2084] INFO  : DB 134  C:\wamp64\www\assessment\php\manageQuestions.php  , SQL to get Question List: 'SELECT * FROM `assessment`.`question` where ssc='Agriculture' and qp_code='AGR/Q4804''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:36+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:37+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:29:37+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:29:37+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:20+00:00 [2084] INFO  : MANAGE CATEGORY Get Categories List with Ids for subject  : 'AGR/Q4804'
2016-12-16T09:30:20+00:00 [2084] INFO  : MANAGE CATEGORY 368  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Categories : 'SELECT id,category FROM `assessment`.`subject_category` where status='active' and subId='AGR/Q4804''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY Get Request with parameter : 'questions'
2016-12-16T09:30:21+00:00 [2084] INFO  : DB Get Request with parameter :'questions'
2016-12-16T09:30:21+00:00 [2084] INFO  : DB Get Questions List for ssc :Agriculture' and subject  : 'AGR/Q4804'
		and category :'' and module : ''
2016-12-16T09:30:21+00:00 [2084] INFO  : DB 134  C:\wamp64\www\assessment\php\manageQuestions.php  , SQL to get Question List: 'SELECT * FROM `assessment`.`question` where ssc='Agriculture' and qp_code='AGR/Q4804''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 219  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Module Id : 'SELECT module FROM `assessment`.`subject_category_module` where id='1''
2016-12-16T09:30:21+00:00 [2084] INFO  : MANAGE CATEGORY 196  C:\wamp64\www\assessment\php\manageCategory.php  , SQL to get Category Id : 'SELECT category FROM `assessment`.`subject_category` where id='1''
